db_version,record_id,corpus_type,discovery_source
VLA-Attack-ER-v2026-06-16,D01,core,targeted verification
VLA-Attack-ER-v2026-06-16,D02,core,targeted verification
VLA-Attack-ER-v2026-06-16,D03,core,targeted verification
VLA-Attack-ER-v2026-06-16,D04,core,targeted verification
VLA-Attack-ER-v2026-06-16,D05,core,targeted verification
VLA-Attack-ER-v2026-06-16,D06,core,targeted verification
VLA-Attack-ER-v2026-06-16,D07,core,targeted verification
VLA-Attack-ER-v2026-06-16,D08,core,targeted verification
VLA-Attack-ER-v2026-06-16,D09,core,targeted verification
VLA-Attack-ER-v2026-06-16,D10,core,targeted verification
VLA-Attack-ER-v2026-06-16,D11,core,project-page discovery
VLA-Attack-ER-v2026-06-16,D12,core,forward snowballing
VLA-Attack-ER-v2026-06-16,D13,core,targeted verification
VLA-Attack-ER-v2026-06-16,D14,core,targeted verification
VLA-Attack-ER-v2026-06-16,D15,core,forward snowballing
VLA-Attack-ER-v2026-06-16,D16,core,targeted verification
VLA-Attack-ER-v2026-06-16,D17,core,database query
VLA-Attack-ER-v2026-06-16,D18,core,forward snowballing
VLA-Attack-ER-v2026-06-16,D19,core,database query
VLA-Attack-ER-v2026-06-16,D20,core,database query
VLA-Attack-ER-v2026-06-16,D21,core,database query
VLA-Attack-ER-v2026-06-16,D22,core,database query
VLA-Attack-ER-v2026-06-16,D23,core,database query
VLA-Attack-ER-v2026-06-16,A01,core,backward snowballing
VLA-Attack-ER-v2026-06-16,A02,core,backward snowballing
VLA-Attack-ER-v2026-06-16,A03,core,targeted verification
VLA-Attack-ER-v2026-06-16,A04,core,targeted verification
VLA-Attack-ER-v2026-06-16,A05,core,forward snowballing
VLA-Attack-ER-v2026-06-16,A06,core,targeted verification
VLA-Attack-ER-v2026-06-16,A07,core,forward snowballing
VLA-Attack-ER-v2026-06-16,A08,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A09,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A10,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A11,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A12,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A13,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A14,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A15,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A16,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A17,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A18,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A19,contextual,database query
VLA-Attack-ER-v2026-06-16,A20,contextual,database query
VLA-Attack-ER-v2026-06-16,A21,contextual,database query
VLA-Attack-ER-v2026-06-16,A22,contextual,database query
VLA-Attack-ER-v2026-06-16,A23,contextual,database query
VLA-Attack-ER-v2026-06-16,A24,contextual,database query
VLA-Attack-ER-v2026-06-16,A25,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A26,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A27,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,A28,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G01,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G02,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G03,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G04,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G05,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G06,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G07,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G08,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G09,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G10,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G11,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G12,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G13,contextual,database query
VLA-Attack-ER-v2026-06-16,G14,contextual,database query
VLA-Attack-ER-v2026-06-16,G15,contextual,database query
VLA-Attack-ER-v2026-06-16,G16,contextual,database query
VLA-Attack-ER-v2026-06-16,G17,contextual,database query
VLA-Attack-ER-v2026-06-16,G18,contextual,database query
VLA-Attack-ER-v2026-06-16,G19,contextual,database query
VLA-Attack-ER-v2026-06-16,G20,contextual,database query
VLA-Attack-ER-v2026-06-16,G21,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G22,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G23,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G24,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G25,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G26,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G27,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G28,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G29,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G30,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G31,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G32,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G33,contextual,backward snowballing
VLA-Attack-ER-v2026-06-16,G34,contextual,backward snowballing
